139900	FABRICACION DE OTROS PRODUCTOS TEXTILES N.C.P.
141001	FABRICACION DE PRENDAS DE VESTIR DE MATERIALES TEXTILES Y SIMILARES
141002	FABRICACION DE PRENDAS DE VESTIR DE CUERO NATURAL O ARTIFICIAL
141003	FABRICACION DE ACCESORIOS DE VESTIR
141004	FABRICACION DE ROPA DE TRABAJO
142000	FABRICACION DE ARTICULOS DE PIEL
143000	FABRICACION DE ARTICULOS DE PUNTO Y GANCHILLO
151100	CURTIDO Y ADOBO DE CUEROS, ADOBO Y TEÑIDO DE PIELES
151200	FABRICACION DE MALETAS, BOLSOS Y ARTICULOS SIMILARES, ARTICULOS DE TALABARTERIA Y GUARNICIONERIA
152000	FABRICACION DE CALZADO
161000	ASERRADO Y ACEPILLADURA DE MADERA
162100	FABRICACION DE HOJAS DE MADERA PARA ENCHAPADO Y TABLEROS A BASE DE MADERA
162200	FABRICACION DE PARTES Y PIEZAS DE CARPINTERIA PARA EDIFICIOS Y CONSTRUCCIONES
162300	FABRICACION DE RECIPIENTES DE MADERA
162900	FABRICACION DE OTROS PRODUCTOS DE MADERA, DE ARTICULOS DE CORCHO, PAJA Y MATERIALES TRENZABLES
170110	FABRICACION DE CELULOSA Y OTRAS PASTAS DE MADERA
170190	FABRICACION DE PAPEL Y CARTON PARA SU POSTERIOR USO INDUSTRIAL N.C.P.
170200	FABRICACION DE PAPEL Y CARTON ONDULADO Y DE ENVASES DE PAPEL Y CARTON
170900	FABRICACION DE OTROS ARTICULOS DE PAPEL Y CARTON
181101	IMPRESION DE LIBROS
181109	OTRAS ACTIVIDADES DE IMPRESION N.C.P.
181200	ACTIVIDADES DE SERVICIOS RELACIONADAS CON LA IMPRESION
182000	REPRODUCCION DE GRABACIONES
191000	FABRICACION DE PRODUCTOS DE HORNOS DE COQUE
192000	FABRICACION DE PRODUCTOS DE LA REFINACION DEL PETROLEO
201101	FABRICACION DE CARBON VEGETAL (EXCEPTO ACTIVADO), FABRICACION DE BRIQUETAS DE CARBON VEGETAL
201109	FABRICACION DE OTRAS SUSTANCIAS QUIMICAS BASICAS N.C.P.
201200	FABRICACION DE ABONOS Y COMPUESTOS DE NITROGENO
201300	FABRICACION DE PLASTICOS Y CAUCHO SINTETICO EN FORMAS PRIMARIAS
202100	FABRICACION DE PLAGUICIDAS Y OTROS PRODUCTOS QUIMICOS DE USO AGROPECUARIO
202200	FABRICACION DE PINTURAS, BARNICES Y PRODUCTOS DE REVESTIMIENTO, TINTAS DE IMPRENTA Y MASILLAS
202300	FABRICACION DE JABONES Y DETERGENTES, PREPARADOS PARA LIMPIAR, PERFUMES Y PREPARADOS DE TOCADOR
202901	FABRICACION DE EXPLOSIVOS Y PRODUCTOS PIROTECNICOS
202909	FABRICACION DE OTROS PRODUCTOS QUIMICOS N.C.P.
203000	FABRICACION DE FIBRAS ARTIFICIALES
210000	FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS QUIMICAS MEDICINALES Y PRODUCTOS BOTANICOS
221100	FABRICACION DE CUBIERTAS Y CAMARAS DE CAUCHO, RECAUCHUTADO Y RENOVACION DE CUBIERTAS DE CAUCHO
221900	FABRICACION DE OTROS PRODUCTOS DE CAUCHO
222000	FABRICACION DE PRODUCTOS DE PLASTICO
231001	FABRICACION DE VIDRIO PLANO
231002	FABRICACION DE VIDRIO HUECO
231003	FABRICACION DE FIBRAS DE VIDRIO
231009	FABRICACION DE PRODUCTOS DE VIDRIO N.C.P.
239100	FABRICACION DE PRODUCTOS REFRACTARIOS
239200	FABRICACION DE MATERIALES DE CONSTRUCCION DE ARCILLA
239300	FABRICACION DE OTROS PRODUCTOS DE PORCELANA Y DE CERAMICA
239400	FABRICACION DE CEMENTO, CAL Y YESO
239500	FABRICACION DE ARTICULOS DE HORMIGON, CEMENTO Y YESO
239600	CORTE, TALLA Y ACABADO DE LA PIEDRA
239900	FABRICACION DE OTROS PRODUCTOS MINERALES NO METALICOS N.C.P.
241000	INDUSTRIAS BASICAS DE HIERRO Y ACERO
242001	FABRICACION DE PRODUCTOS PRIMARIOS DE COBRE
242002	FABRICACION DE PRODUCTOS PRIMARIOS DE ALUMINIO
242009	FABRICACION DE PRODUCTOS PRIMARIOS DE METALES PRECIOSOS Y DE OTROS METALES NO FERROSOS N.C.P.
243100	FUNDICION DE HIERRO Y ACERO
243200	FUNDICION DE METALES NO FERROSOS
251100	FABRICACION DE PRODUCTOS METALICOS PARA USO ESTRUCTURAL
251201	FABRICACION DE RECIPIENTES DE METAL PARA GASES COMPRIMIDOS O LICUADOS
251209	FABRICACION DE TANQUES, DEPOSITOS Y RECIPIENTES DE METAL N.C.P.
251300	FABRICACION DE GENERADORES DE VAPOR, EXCEPTO CALDERAS DE AGUA CALIENTE PARA CALEFACCION CENTRAL
252000	FABRICACION DE ARMAS Y MUNICIONES
259100	FORJA, PRENSADO, ESTAMPADO Y LAMINADO DE METALES, PULVIMETALURGIA
259200	TRATAMIENTO Y REVESTIMIENTO DE METALES, MAQUINADO
259300	FABRICACION DE ARTICULOS DE CUCHILLERIA, HERRAMIENTAS DE MANO Y ARTICULOS DE FERRETERIA
259900	FABRICACION DE OTROS PRODUCTOS ELABORADOS DE METAL N.C.P.
261000	FABRICACION DE COMPONENTES Y TABLEROS ELECTRONICOS
262000	FABRICACION DE COMPUTADORES Y EQUIPO PERIFERICO
263000	FABRICACION DE EQUIPO DE COMUNICACIONES
264000	FABRICACION DE APARATOS ELECTRONICOS DE CONSUMO
265100	FABRICACION DE EQUIPO DE MEDICION, PRUEBA, NAVEGACION Y CONTROL
265200	FABRICACION DE RELOJES
266000	FABRICACION DE EQUIPO DE IRRADIACION Y EQUIPO ELECTRONICO DE USO MEDICO Y TERAPEUTICO
